flight,chain_id,lat,long,alt,mph,dt_seconds,heading_sin,heading_cos,vertical_speed,horizontal_speed,delta_lat,delta_lon,delta_alt
ARRIS02,1,34.6429,-118.024,3375,460,600.0,-0.9981577148966413,0.0606726972559767,0.0,1.0998002491333856,0.00010000000000331966,-0.001999999999995339,0
ARRIS02,2,34.7186,-117.878,4950,460,600.0,-0.7537960574641621,-0.6571084413941778,-1.625,46.585791476996356,-0.04590000000000316,-0.06399999999999295,-975
ARRIS02,9,34.6907,-118.065,4925,260,600.0,0.539559730313664,-0.8419473246135094,-2.0416666666666665,12.20268603015402,-0.015399999999999636,0.012000000000000455,-1225
ARRIS69,5,34.9352,-117.988,25250,430,600.0,0.38947151541437547,0.9210385109651116,-20.458333333333332,33.684757192603335,0.04649999999999466,0.02400000000000091,-12275
ARRIS69,6,34.7106,-118.037,5400,460,600.0,-0.8099773869433714,-0.5864611092309429,-2.3333333333333335,68.43727525499143,-0.06020000000000181,-0.10099999999999909,-1400
ARRIS69,7,34.6163,-118.122,3900,460,600.0,0.7613374543752737,0.6483558286661562,1.625,108.75994544016055,0.10559999999999548,0.15099999999999625,975
ARRIS69,8,34.6314,-118.098,2850,460,600.0,-0.2707403683569167,0.9626524050465781,4.208333333333333,99.18273383874997,0.143100000000004,-0.049000000000006594,2525
ARRIS69,9,34.7186,-117.852,5450,274,600.0,-0.9970218924661886,0.07711903748841745,0.041666666666666664,47.84891496442125,0.00549999999999784,-0.08699999999998909,25
ASA1320,18,35.0284,-118.62,30425,506,600.0,0.8046626172608538,-0.5937323238488139,-23.875,630.2826964613622,-0.5643999999999991,0.9220000000000113,-14325
ASA356,2,34.5563,-117.237,26075,511,600.0,-0.9389573457161837,0.34403357819494745,20.916666666666668,730.5218596798896,0.3703000000000003,-1.2540000000000049,12550
ASA685,0,34.568,-117.359,28925,506,600.0,-0.9099191045416547,0.4147857557705101,13.0,754.0836846869212,0.46240000000000236,-1.2560000000000002,7800
ASA690,10,35.0085,-118.522,29025,481,600.0,0.7923128004630405,-0.6101150926033663,-13.416666666666666,681.7452347528636,-0.6273999999999944,0.9810000000000088,-8050
ASA690,12,35.1487,-118.635,31300,516,600.0,0.7542339567972881,-0.6566057709264415,-17.666666666666668,745.1032725317053,-0.7376000000000005,1.0210000000000008,-10600
